,Period,F1 score_train,F1 score_test,Model
0,2039-2041,0.9440559440559441,0.8,SVC
1,2036-2038,0.9722222222222222,0.8571428571428571,SVC
2,2033-2035,0.902967563837129,0.8571428571428571,SVC
3,2030-2032,0.8640350877192983,0.7692307692307692,SVC
4,2027-2029,0.8457142857142856,0.7142857142857143,SVC
5,2024-2026,0.7884057971014493,0.5333333333333333,SVC
6,2021-2023,0.6936274509803922,0.5454545454545454,SVC
7,2018-2020,0.6936274509803922,0.5454545454545454,SVC
8,2015-2017,0.6936274509803922,0.5454545454545454,SVC
0,2039-2041,0.9188034188034188,0.7499999999999999,DT
1,2036-2038,0.8735871298800361,0.8571428571428571,DT
2,2033-2035,0.8070740458230924,0.8571428571428571,DT
3,2030-2032,0.7610084033613446,0.7142857142857143,DT
4,2027-2029,0.724401913875598,0.4615384615384615,DT
5,2024-2026,0.6170919723551302,0.1818181818181818,DT
6,2021-2023,0.5951916829109812,0.42857142857142855,DT
7,2018-2020,0.6505747126436782,0.4705882352941177,DT
8,2015-2017,0.45691150954308846,0.4444444444444444,DT
0,2039-2041,0.9426129426129425,0.8,RF
1,2036-2038,0.923015873015873,0.8571428571428571,RF
2,2033-2035,0.8984409310496266,0.8,RF
3,2030-2032,0.8621739130434783,0.7058823529411764,RF
4,2027-2029,0.7721661054994389,0.3636363636363636,RF
5,2024-2026,0.6706349206349206,0.4,RF
6,2021-2023,0.6448697501329079,0.4,RF
7,2018-2020,0.6608886417006551,0.5333333333333333,RF
8,2015-2017,0.5657971014492754,0.6666666666666666,RF
0,2039-2041,0.8501165501165501,0.8,ADA
1,2036-2038,0.9128853754940711,0.8571428571428571,ADA
2,2033-2035,0.7898550724637682,0.8,ADA
3,2030-2032,0.8079365079365081,0.5882352941176471,ADA
4,2027-2029,0.7770594837261503,0.42857142857142855,ADA
5,2024-2026,0.6558900037160906,0.37499999999999994,ADA
6,2021-2023,0.5461538461538461,0.5714285714285715,ADA
7,2018-2020,0.5685185185185185,0.42857142857142855,ADA
8,2015-2017,0.4338118022328548,0.6666666666666666,ADA
